model,layer,statistic,rate_200,rate_262,delta_pp,n_nc_200,n_nc_262
Llama 3.1 8B,layer2,alternative_offer,0.3333,0.3433,1.0,183,233
Llama 3.1 8B,layer2,normative_suggestion,0.0,0.0043,0.43,183,233
Llama 3.1 8B,layer2,statement_of_principle,0.0,0.0,0.0,183,233
Llama 3.1 8B,layer2,role_based,0.0,0.0,0.0,183,233
Qwen3-32B + reasoning,layer0,Full compliance,0.3266,0.3038,-2.28,123,163
Qwen3-32B + reasoning,layer0,Partial compliance,0.0553,0.0692,1.4,123,163
Qwen3-32B + reasoning,layer0,Non-compliance,0.6181,0.6269,0.88,123,163
Qwen3-32B + reasoning,layer1,Bare,0.0894,0.1104,2.1,123,163
Qwen3-32B + reasoning,layer1,Capacity-based,0.0,0.0061,0.61,123,163
Qwen3-32B + reasoning,layer1,Policy-based,0.0813,0.0675,-1.38,123,163
Qwen3-32B + reasoning,layer1,Ethics-based,0.8293,0.816,-1.33,123,163
Qwen3-32B + reasoning,layer2,explicit_nc,0.7398,0.7362,-0.36,123,163
Qwen3-32B + reasoning,layer2,implicit_nc,0.2602,0.2638,0.36,123,163
Qwen3-32B + reasoning,layer2,apology,0.6179,0.638,2.02,123,163
Qwen3-32B + reasoning,layer2,hedge,0.0,0.0,0.0,123,163
Qwen3-32B + reasoning,layer2,explanatory_preface,0.0081,0.0184,1.03,123,163
Qwen3-32B + reasoning,layer2,positive_alignment,0.0,0.0123,1.23,123,163
Qwen3-32B + reasoning,layer2,solidarity,0.187,0.2086,2.16,123,163
Qwen3-32B + reasoning,layer2,negative_stance,0.813,0.7914,-2.16,123,163
Qwen3-32B + reasoning,layer2,executed_alternative,0.5203,0.5399,1.96,123,163
Qwen3-32B + reasoning,layer2,alternative_offer,0.5366,0.5276,-0.9,123,163
Qwen3-32B + reasoning,layer2,normative_suggestion,0.6098,0.6012,-0.85,123,163
Qwen3-32B + reasoning,layer2,statement_of_principle,0.252,0.2147,-3.73,123,163
Qwen3-32B + reasoning,layer2,role_based,0.0894,0.0859,-0.35,123,163
Qwen3-32B,layer0,Full compliance,0.3147,0.3166,0.19,126,165
Qwen3-32B,layer0,Partial compliance,0.0457,0.0463,0.06,126,165
Qwen3-32B,layer0,Non-compliance,0.6396,0.6371,-0.25,126,165
Qwen3-32B,layer1,Bare,0.1825,0.1636,-1.89,126,165
Qwen3-32B,layer1,Capacity-based,0.0079,0.0242,1.63,126,165
Qwen3-32B,layer1,Policy-based,0.0556,0.0485,-0.71,126,165
Qwen3-32B,layer1,Ethics-based,0.754,0.7636,0.97,126,165
Qwen3-32B,layer2,explicit_nc,0.7778,0.7818,0.4,126,165
Qwen3-32B,layer2,implicit_nc,0.2222,0.2182,-0.4,126,165
Qwen3-32B,layer2,apology,0.6111,0.6364,2.53,126,165
Qwen3-32B,layer2,hedge,0.0,0.0,0.0,126,165
Qwen3-32B,layer2,explanatory_preface,0.0476,0.0485,0.09,126,165
Qwen3-32B,layer2,positive_alignment,0.0079,0.0182,1.02,126,165
Qwen3-32B,layer2,solidarity,0.1984,0.2303,3.19,126,165
Qwen3-32B,layer2,negative_stance,0.7222,0.7394,1.72,126,165
Qwen3-32B,layer2,executed_alternative,0.4524,0.4606,0.82,126,165
Qwen3-32B,layer2,alternative_offer,0.5159,0.5455,2.96,126,165
Qwen3-32B,layer2,normative_suggestion,0.4762,0.497,2.08,126,165
Qwen3-32B,layer2,statement_of_principle,0.1905,0.1758,-1.47,126,165
Qwen3-32B,layer2,role_based,0.0952,0.0848,-1.04,126,165
Qwen3-8B + reasoning,layer0,Full compliance,0.2374,0.2423,0.49,134,171
Qwen3-8B + reasoning,layer0,Partial compliance,0.0859,0.1,1.41,134,171
Qwen3-8B + reasoning,layer0,Non-compliance,0.6768,0.6577,-1.91,134,171
Qwen3-8B + reasoning,layer1,Bare,0.0672,0.076,0.89,134,171
Qwen3-8B + reasoning,layer1,Capacity-based,0.0,0.0175,1.75,134,171
Qwen3-8B + reasoning,layer1,Policy-based,0.0597,0.0468,-1.29,134,171
Qwen3-8B + reasoning,layer1,Ethics-based,0.8731,0.8596,-1.35,134,171
Qwen3-8B + reasoning,layer2,explicit_nc,0.6642,0.6374,-2.68,134,171
Qwen3-8B + reasoning,layer2,implicit_nc,0.3358,0.3626,2.68,134,171
Qwen3-8B + reasoning,layer2,apology,0.1716,0.1813,0.96,134,171
Qwen3-8B + reasoning,layer2,hedge,0.0,0.0,0.0,134,171
Qwen3-8B + reasoning,layer2,explanatory_preface,0.0597,0.0643,0.46,134,171
Qwen3-8B + reasoning,layer2,positive_alignment,0.0149,0.0234,0.85,134,171
Qwen3-8B + reasoning,layer2,solidarity,0.1567,0.1988,4.21,134,171
Qwen3-8B + reasoning,layer2,negative_stance,0.8433,0.8304,-1.29,134,171
Qwen3-8B + reasoning,layer2,executed_alternative,0.5746,0.6023,2.77,134,171
Qwen3-8B + reasoning,layer2,alternative_offer,0.5149,0.5029,-1.2,134,171
Qwen3-8B + reasoning,layer2,normative_suggestion,0.6045,0.6023,-0.21,134,171
Qwen3-8B + reasoning,layer2,statement_of_principle,0.1791,0.193,1.39,134,171
Qwen3-8B + reasoning,layer2,role_based,0.097,0.0877,-0.93,134,171
Qwen3-8B,layer0,Full compliance,0.2462,0.25,0.38,136,175
Qwen3-8B,layer0,Partial compliance,0.0704,0.0769,0.66,136,175
Qwen3-8B,layer0,Non-compliance,0.6834,0.6731,-1.03,136,175
Qwen3-8B,layer1,Bare,0.0662,0.0743,0.81,136,175
Qwen3-8B,layer1,Capacity-based,0.0074,0.0286,2.12,136,175
Qwen3-8B,layer1,Policy-based,0.0588,0.0514,-0.74,136,175
Qwen3-8B,layer1,Ethics-based,0.8676,0.8457,-2.19,136,175
Qwen3-8B,layer2,explicit_nc,0.6912,0.6629,-2.83,136,175
Qwen3-8B,layer2,implicit_nc,0.3088,0.3371,2.83,136,175
Qwen3-8B,layer2,apology,0.1397,0.1543,1.46,136,175
Qwen3-8B,layer2,hedge,0.0,0.0,0.0,136,175
Qwen3-8B,layer2,explanatory_preface,0.0662,0.0571,-0.9,136,175
Qwen3-8B,layer2,positive_alignment,0.0147,0.0229,0.82,136,175
Qwen3-8B,layer2,solidarity,0.1544,0.1886,3.42,136,175
Qwen3-8B,layer2,negative_stance,0.8382,0.8114,-2.68,136,175
Qwen3-8B,layer2,executed_alternative,0.5882,0.6171,2.89,136,175
Qwen3-8B,layer2,alternative_offer,0.5662,0.5486,-1.76,136,175
Qwen3-8B,layer2,normative_suggestion,0.5662,0.5657,-0.05,136,175
Qwen3-8B,layer2,statement_of_principle,0.1691,0.1657,-0.34,136,175
Qwen3-8B,layer2,role_based,0.0956,0.08,-1.56,136,175
