model,feature,n_both_non_compliance,agreement,kappa,may_rate,august_rate
qwen3-32b,negative_stance,79,0.8607594936708861,0.5153374233128837,0.7848101265822784,0.8734177215189873
qwen3-32b,executed_alternative,79,0.7215189873417721,0.4175603217158177,0.5822784810126582,0.6329113924050633
qwen3-32b,alternative_offer,79,0.759493670886076,0.5196800000000001,0.4936708860759494,0.5569620253164557
qwen3-32b,normative_suggestion,79,0.6962025316455697,0.38441558441558443,0.5189873417721519,0.6708860759493671
qwen3-32b,statement_of_principle,79,0.7721518987341772,0.3311382878645342,0.17721518987341772,0.25316455696202533
qwen3-32b,role_based,79,0.9620253164556962,0.5519848771266547,0.05063291139240506,0.0379746835443038
qwen3-32b-reasoning,explicit_nc,80,0.7875,0.4435351882160393,0.725,0.7625
qwen3-32b-reasoning,implicit_nc,80,0.7875,0.4435351882160393,0.275,0.2375
qwen3-32b-reasoning,apology,80,0.775,0.5203197868087942,0.6125,0.6375
qwen3-32b-reasoning,hedge,80,1.0,,0.0,0.0
qwen3-32b-reasoning,explanatory_preface,80,0.975,0.0,0.0,0.025
qwen3-32b-reasoning,positive_alignment,80,0.9875,0.0,0.0,0.0125
qwen3-32b-reasoning,solidarity,80,0.925,0.8001665278934222,0.2625,0.2375
qwen3-32b-reasoning,negative_stance,80,0.975,0.9020807833537331,0.8625,0.8375
qwen3-32b-reasoning,executed_alternative,80,0.8,0.5345454545454547,0.6875,0.6875
qwen3-32b-reasoning,alternative_offer,80,0.6625,0.3224592220828105,0.4625,0.475
qwen3-32b-reasoning,normative_suggestion,80,0.725,0.41952506596306066,0.675,0.575
qwen3-32b-reasoning,statement_of_principle,80,0.725,0.31034482758620674,0.275,0.275
qwen3-32b-reasoning,role_based,80,0.9875,0.7938144329896912,0.0375,0.025
qwen3-8b,explicit_nc,87,0.896551724137931,0.7818333797715241,0.632183908045977,0.5977011494252874
qwen3-8b,implicit_nc,87,0.896551724137931,0.7818333797715241,0.367816091954023,0.40229885057471265
qwen3-8b,apology,87,0.8850574712643678,0.5747800586510264,0.1724137931034483,0.14942528735632185
qwen3-8b,hedge,87,1.0,,0.0,0.0
qwen3-8b,explanatory_preface,87,0.9655172413793104,0.7507163323782239,0.06896551724137931,0.08045977011494253
qwen3-8b,positive_alignment,87,0.9770114942528736,-0.01162790697674021,0.011494252873563218,0.011494252873563218
qwen3-8b,solidarity,87,0.8735632183908046,0.6495789088246064,0.21839080459770116,0.25287356321839083
qwen3-8b,negative_stance,87,0.9540229885057471,0.7921146953405016,0.8620689655172413,0.8850574712643678
qwen3-8b,executed_alternative,87,0.8735632183908046,0.6949314631813835,0.7126436781609196,0.7011494252873564
qwen3-8b,alternative_offer,87,0.735632183908046,0.46937151949085115,0.4942528735632184,0.3448275862068966
qwen3-8b,normative_suggestion,87,0.8160919540229885,0.5727440147329651,0.6551724137931034,0.7241379310344828
qwen3-8b,statement_of_principle,87,0.735632183908046,0.22890173410404627,0.14942528735632185,0.27586206896551724
qwen3-8b,role_based,87,1.0,1.0,0.022988505747126436,0.022988505747126436
qwen3-8b-reasoning,explicit_nc,86,0.8372093023255814,0.6708583925642428,0.6162790697674418,0.5232558139534884
qwen3-8b-reasoning,implicit_nc,86,0.8372093023255814,0.6708583925642428,0.38372093023255816,0.47674418604651164
qwen3-8b-reasoning,apology,86,0.9069767441860465,0.637894736842105,0.16279069767441862,0.13953488372093023
qwen3-8b-reasoning,hedge,86,1.0,,0.0,0.0
qwen3-8b-reasoning,explanatory_preface,86,0.9186046511627907,0.3296213808463247,0.03488372093023256,0.09302325581395349
qwen3-8b-reasoning,positive_alignment,86,0.9651162790697675,-0.01574803149606037,0.011627906976744186,0.023255813953488372
qwen3-8b-reasoning,solidarity,86,0.8488372093023255,0.5856189770200148,0.20930232558139536,0.26744186046511625
qwen3-8b-reasoning,negative_stance,86,0.872093023255814,0.44935972060535495,0.8837209302325582,0.8488372093023255
qwen3-8b-reasoning,executed_alternative,86,0.813953488372093,0.4959706959706961,0.7558139534883721,0.7558139534883721
qwen3-8b-reasoning,alternative_offer,86,0.7209302325581395,0.41129492298916126,0.43023255813953487,0.313953488372093
qwen3-8b-reasoning,normative_suggestion,86,0.8372093023255814,0.6143497757847535,0.686046511627907,0.7093023255813954
qwen3-8b-reasoning,statement_of_principle,86,0.7790697674418605,0.32977850697292893,0.1511627906976744,0.2558139534883721
qwen3-8b-reasoning,role_based,86,0.9883720930232558,0.6614173228346455,0.023255813953488372,0.011627906976744186
