comparison,pair_id,mode,model,family,access,n_nc,implicit_nc,apology,solidarity,negative_stance,normative_suggestion,alternative_offer,executed_alternative
reasoning,qwen3-32b vs qwen3-32b-reasoning,Reasoning,qwen3-32b-reasoning,Qwen,open-weight,123,0.2601626016260163,0.6178861788617886,0.18699186991869918,0.8130081300813008,0.6097560975609756,0.5365853658536586,0.5203252032520326
temporal,gpt-4o vs gpt-5,Earlier,gpt-4o,OpenAI,closed/proprietary,157,0.10191082802547771,0.9363057324840764,0.07006369426751592,0.044585987261146494,0.044585987261146494,0.03821656050955414,0.07006369426751592
temporal,gpt-4o vs gpt-5,Later,gpt-5,OpenAI,closed/proprietary,176,0.022727272727272728,0.3977272727272727,0.14204545454545456,0.5511363636363636,0.4034090909090909,0.5170454545454546,0.6647727272727273
temporal,gpt-5 vs gpt-5.3,Earlier,gpt-5,OpenAI,closed/proprietary,176,0.022727272727272728,0.3977272727272727,0.14204545454545456,0.5511363636363636,0.4034090909090909,0.5170454545454546,0.6647727272727273
temporal,gpt-5 vs gpt-5.3,Later,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
temporal,gpt-4o vs gpt-5.3,Earlier,gpt-4o,OpenAI,closed/proprietary,157,0.10191082802547771,0.9363057324840764,0.07006369426751592,0.044585987261146494,0.044585987261146494,0.03821656050955414,0.07006369426751592
temporal,gpt-4o vs gpt-5.3,Later,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
temporal,claude-sonnet-3.7 vs claude-sonnet-4.6,Earlier,claude-sonnet-3.7,Anthropic,closed/proprietary,169,0.1952662721893491,0.39644970414201186,0.14792899408284024,0.8816568047337278,0.5384615384615384,0.757396449704142,0.42011834319526625
temporal,claude-sonnet-3.7 vs claude-sonnet-4.6,Later,claude-sonnet-4.6,Anthropic,closed/proprietary,159,0.03773584905660377,0,0.14465408805031446,0.779874213836478,0.24528301886792453,0.559748427672956,0.34591194968553457
closed_family,gpt-5.3 vs grok-4.20,Model A,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
closed_family,gpt-5.3 vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,141,0.05673758865248227,0.24822695035460993,0.10638297872340426,0.7801418439716312,0.375886524822695,0.5602836879432624,0.3333333333333333
closed_family,claude-opus-4.6 vs gpt-5.3,Model A,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
closed_family,claude-opus-4.6 vs gpt-5.3,Model B,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
closed_family,claude-opus-4.6 vs gemini-2.5-pro,Model A,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
closed_family,claude-opus-4.6 vs gemini-2.5-pro,Model B,gemini-2.5-pro,Google,closed/proprietary,110,0.045454545454545456,0.03636363636363636,0.35454545454545455,0.9090909090909091,0.43636363636363634,0.12727272727272726,0.6727272727272727
closed_family,claude-opus-4.6 vs grok-4.20,Model A,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
closed_family,claude-opus-4.6 vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,141,0.05673758865248227,0.24822695035460993,0.10638297872340426,0.7801418439716312,0.375886524822695,0.5602836879432624,0.3333333333333333
closed_family,gemini-2.5-pro vs gpt-5.3,Model A,gemini-2.5-pro,Google,closed/proprietary,110,0.045454545454545456,0.03636363636363636,0.35454545454545455,0.9090909090909091,0.43636363636363634,0.12727272727272726,0.6727272727272727
closed_family,gemini-2.5-pro vs gpt-5.3,Model B,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
closed_family,gemini-2.5-pro vs grok-4.20,Model A,gemini-2.5-pro,Google,closed/proprietary,110,0.045454545454545456,0.03636363636363636,0.35454545454545455,0.9090909090909091,0.43636363636363634,0.12727272727272726,0.6727272727272727
closed_family,gemini-2.5-pro vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,141,0.05673758865248227,0.24822695035460993,0.10638297872340426,0.7801418439716312,0.375886524822695,0.5602836879432624,0.3333333333333333
